title,folder,review,metacriticScore,platform,completionTime
NieR: Automata,Action RPG,Great game!,9.0,PC- PlayStation 4- Xbox One,Platinum Games
Yakuza 0,Story-based,Would recommend.,8.5,PlayStation 4,SEGA
Elden Ring,RPG,10-Oct,10,PC- PlayStation 4- PlayStation 5- Xbox One- Xbox Series S- Xbox Series S|X,FromSoftware
bibop, RPG, fake,No Data,No Data,No Data
Battlefield V,FPS,sick,8.0,PC- PlayStation 4- Xbox One,EA DICE
